"Date","Price","Open","High","Low","Vol.","Change %"
"2021-05-25","7,029.79","7,051.59","7,067.60","7,029.79","619.37M","-0.31%"
"2021-05-24","7,051.59","7,018.05","7,054.63","7,013.51","422.93M","0.48%"
"2021-05-21","7,018.05","7,019.79","7,028.17","6,973.31","803.61M","-0.02%"
"2021-05-20","7,019.79","6,950.20","7,019.79","6,926.85","626.00M","1.00%"
"2021-05-19","6,950.20","7,034.24","7,034.24","6,897.06","729.25M","-1.19%"
"2021-05-18","7,034.24","7,032.85","7,102.57","7,030.37","736.33M","0.02%"
"2021-05-17","7,032.85","7,043.61","7,066.76","6,989.11","582.73M","-0.15%"
"2021-05-14","7,043.61","6,963.33","7,048.67","6,963.33","845.95M","1.15%"
"2021-05-13","6,963.33","7,004.63","7,004.63","6,823.60","660.81M","-0.59%"
"2021-05-12","7,004.63","6,947.99","7,028.10","6,945.33","743.55M","0.82%"
"2021-05-11","6,947.99","7,123.68","7,123.68","6,912.36","931.23M","-2.47%"
"2021-05-10","7,123.68","7,129.71","7,164.18","7,104.40","742.07M","-0.08%"
"2021-05-07","7,129.71","7,076.17","7,143.46","7,076.17","624.30M","0.76%"
"2021-05-06","7,076.17","7,039.30","7,076.17","7,026.75","764.40M","0.52%"
"2021-05-05","7,039.30","6,923.17","7,047.75","6,923.17","734.98M","1.68%"
"2021-05-04","6,923.17","6,969.81","7,034.26","6,912.28","911.98M","-0.67%"
"2021-04-30","6,969.81","6,961.48","7,009.47","6,946.04","831.63M","0.12%"
"2021-04-29","6,961.48","6,963.67","7,019.76","6,953.87","657.93M","-0.03%"
"2021-04-28","6,963.67","6,944.97","6,986.70","6,944.06","990.23M","0.27%"
"2021-04-27","6,944.97","6,963.12","6,975.07","6,929.77","657.41M","-0.26%"
"2021-04-26","6,963.12","6,938.56","6,971.52","6,913.39","511.63M","0.35%"
"2021-04-23","6,938.56","6,938.24","6,938.56","6,891.75","535.29M","0.00%"
"2021-04-22","6,938.24","6,895.29","6,941.11","6,889.32","647.00M","0.62%"
"2021-04-21","6,895.29","6,859.87","6,914.88","6,859.61","659.74M","0.52%"
"2021-04-20","6,859.87","7,000.08","7,001.27","6,857.07","825.25M","-2.00%"
"2021-04-19","7,000.08","7,019.53","7,040.26","6,979.23","529.71M","-0.28%"
"2021-04-16","7,019.53","6,983.50","7,037.65","6,983.50","742.51M","0.52%"
"2021-04-15","6,983.50","6,939.58","6,994.90","6,939.26","651.28M","0.63%"
"2021-04-14","6,939.58","6,890.49","6,942.33","6,880.67","596.77M","0.71%"
"2021-04-13","6,890.49","6,889.12","6,895.13","6,859.72","572.41M","0.02%"
"2021-04-12","6,889.12","6,915.75","6,916.08","6,853.75","639.36M","-0.39%"
"2021-04-09","6,915.75","6,942.22","6,949.56","6,906.37","615.05M","-0.38%"
"2021-04-08","6,942.22","6,885.32","6,942.22","6,884.79","788.61M","0.83%"
"2021-04-07","6,885.32","6,823.55","6,898.38","6,823.55","708.27M","0.91%"
"2021-04-06","6,823.55","6,737.30","6,843.73","6,737.30","773.87M","1.28%"
"2021-04-01","6,737.30","6,713.63","6,766.52","6,713.63","592.33M","0.35%"
"2021-03-31","6,713.63","6,772.12","6,775.67","6,713.63","854.82M","-0.86%"
"2021-03-30","6,772.12","6,736.17","6,792.23","6,729.46","664.39M","0.53%"
"2021-03-29","6,736.17","6,740.59","6,758.78","6,705.42","624.49M","-0.07%"
"2021-03-26","6,740.59","6,674.83","6,742.14","6,674.83","742.30M","0.99%"
"2021-03-25","6,674.83","6,712.89","6,729.92","6,618.61","768.54M","-0.57%"
"2021-03-24","6,712.89","6,699.19","6,722.61","6,649.37","928.13M","0.20%"
"2021-03-23","6,699.19","6,726.10","6,726.10","6,664.76","860.30M","-0.40%"
"2021-03-22","6,726.10","6,708.71","6,732.67","6,650.96","752.39M","0.26%"
"2021-03-19","6,708.71","6,779.68","6,779.68","6,664.56","1.82B","-1.05%"
"2021-03-18","6,779.68","6,762.67","6,791.76","6,740.53","825.20M","0.25%"
"2021-03-17","6,762.67","6,803.61","6,805.73","6,753.82","834.82M","-0.60%"
"2021-03-16","6,803.61","6,749.70","6,812.78","6,749.64","849.48M","0.80%"
"2021-03-15","6,749.70","6,761.47","6,804.91","6,723.67","670.77M","-0.17%"
"2021-03-12","6,761.47","6,736.96","6,766.44","6,709.00","706.13M","0.36%"
"2021-03-11","6,736.96","6,725.60","6,755.32","6,699.34","714.71M","0.17%"
"2021-03-10","6,725.60","6,730.34","6,740.77","6,677.02","725.80M","-0.07%"
"2021-03-09","6,730.34","6,719.13","6,786.80","6,689.90","952.95M","0.17%"
"2021-03-08","6,719.13","6,630.52","6,726.40","6,612.74","972.76M","1.34%"
"2021-03-05","6,630.52","6,650.88","6,710.80","6,560.79","1.03B","-0.31%"
"2021-03-04","6,650.88","6,675.47","6,675.47","6,581.19","938.81M","-0.37%"
"2021-03-03","6,675.47","6,613.75","6,705.30","6,613.75","937.33M","0.93%"
"2021-03-02","6,613.75","6,588.53","6,660.82","6,560.91","682.61M","0.38%"
"2021-03-01","6,588.53","6,483.43","6,612.74","6,483.43","708.30M","1.62%"
"2021-02-26","6,483.43","6,651.96","6,651.96","6,465.57","1.28B","-2.53%"
"2021-02-25","6,651.96","6,658.97","6,702.88","6,644.68","852.47M","-0.11%"
"2021-02-24","6,658.97","6,625.94","6,669.86","6,572.28","1.14B","0.50%"
"2021-02-23","6,625.94","6,612.24","6,675.42","6,555.88","1.15B","0.21%"
"2021-02-22","6,612.24","6,624.02","6,624.71","6,545.93","846.35M","-0.18%"
"2021-02-19","6,624.02","6,617.15","6,646.16","6,600.59","963.92M","0.10%"
"2021-02-18","6,617.15","6,710.90","6,721.76","6,591.43","846.71M","-1.40%"
"2021-02-17","6,710.90","6,748.86","6,760.29","6,701.59","755.36M","-0.56%"
"2021-02-16","6,748.86","6,756.11","6,799.92","6,736.85","817.27M","-0.11%"
"2021-02-15","6,756.11","6,589.79","6,775.37","6,589.79","817.31M","2.52%"
"2021-02-12","6,589.79","6,528.72","6,589.79","6,485.13","490.54M","0.94%"
"2021-02-11","6,528.72","6,524.36","6,554.15","6,514.92","673.19M","0.07%"
"2021-02-10","6,524.36","6,531.56","6,577.00","6,481.02","782.04M","-0.11%"
"2021-02-09","6,531.56","6,523.53","6,540.97","6,501.02","544.65M","0.12%"
"2021-02-08","6,523.53","6,489.33","6,567.70","6,489.33","776.32M","0.53%"
"2021-02-05","6,489.33","6,503.72","6,518.65","6,457.60","984.40M","-0.22%"
"2021-02-04","6,503.72","6,507.82","6,553.37","6,478.15","989.92M","-0.06%"
"2021-02-03","6,507.82","6,516.65","6,573.10","6,489.51","717.52M","-0.14%"
"2021-02-02","6,516.65","6,466.42","6,523.51","6,466.42","719.05M","0.78%"
"2021-02-01","6,466.42","6,407.46","6,495.56","6,407.46","746.04M","0.92%"
"2021-01-29","6,407.46","6,526.15","6,526.15","6,397.24","870.67M","-1.82%"
"2021-01-28","6,526.15","6,567.37","6,567.37","6,439.55","865.83M","-0.63%"
"2021-01-27","6,567.37","6,654.01","6,661.31","6,505.84","982.45M","-1.30%"
"2021-01-26","6,654.01","6,638.85","6,702.35","6,636.34","683.49M","0.23%"
"2021-01-25","6,638.85","6,695.07","6,714.61","6,610.26","761.26M","-0.84%"
"2021-01-22","6,695.07","6,715.42","6,715.66","6,651.71","693.96M","-0.30%"
"2021-01-21","6,715.42","6,740.39","6,776.92","6,715.42","612.55M","-0.37%"
"2021-01-20","6,740.39","6,712.95","6,751.81","6,697.46","687.50M","0.41%"
"2021-01-19","6,712.95","6,720.65","6,770.66","6,697.67","618.15M","-0.11%"
"2021-01-18","6,720.65","6,735.71","6,741.47","6,709.33","359.83M","-0.22%"
"2021-01-15","6,735.71","6,801.96","6,802.05","6,676.55","740.67M","-0.97%"
"2021-01-14","6,801.96","6,745.52","6,801.96","6,736.78","674.89M","0.84%"
"2021-01-13","6,745.52","6,754.11","6,772.57","6,736.01","619.31M","-0.13%"
"2021-01-12","6,754.11","6,798.48","6,816.65","6,738.21","648.16M","-0.65%"
"2021-01-11","6,798.48","6,873.26","6,873.26","6,768.72","707.80M","-1.09%"
"2021-01-08","6,873.26","6,856.96","6,886.34","6,836.08","850.78M","0.24%"
"2021-01-07","6,856.96","6,841.86","6,903.61","6,795.11","939.65M","0.22%"
"2021-01-06","6,841.86","6,612.25","6,859.14","6,611.87","1.25B","3.47%"
"2021-01-05","6,612.25","6,571.88","6,622.77","6,544.25","718.95M","0.61%"
