"Date","Price","Open","High","Low","Vol.","Change %"
"2020-11-17","16,948.06","16,800.19","16,952.78","16,768.65","264.19M","0.34%"
"2020-11-16","16,889.81","16,791.87","16,889.81","16,733.98","306.57M","1.28%"
"2020-11-13","16,675.64","16,679.49","16,736.25","16,662.37","240.21M","0.56%"
"2020-11-12","16,582.18","16,774.19","16,794.92","16,532.79","268.74M","-1.14%"
"2020-11-11","16,774.14","16,718.35","16,801.02","16,674.90","270.39M","0.96%"
"2020-11-10","16,615.37","16,503.03","16,654.81","16,485.78","311.21M","0.85%"
"2020-11-09","16,475.86","16,550.71","16,715.72","16,465.19","476.66M","1.19%"
"2020-11-06","16,282.83","16,359.35","16,378.55","16,236.62","285.21M","-0.09%"
"2020-11-05","16,298.17","16,232.70","16,318.58","16,223.68","294.46M","1.87%"
"2020-11-04","15,998.74","16,053.66","16,111.67","15,894.24","285.81M","0.37%"
"2020-11-03","15,939.15","15,791.83","15,975.85","15,791.83","194.52M","1.54%"
"2020-11-02","15,696.87","15,684.92","15,724.93","15,569.43","197.14M","0.75%"
"2020-10-30","15,580.64","15,616.02","15,632.32","15,418.46","221.69M","-0.57%"
"2020-10-29","15,670.70","15,633.63","15,738.19","15,514.59","205.66M","0.54%"
"2020-10-28","15,586.57","15,835.10","15,835.10","15,575.13","277.46M","-2.71%"
"2020-10-27","16,020.94","16,084.68","16,104.59","15,999.24","188.79M","-0.36%"
"2020-10-26","16,079.55","16,207.95","16,224.22","15,990.08","219.83M","-1.38%"
"2020-10-23","16,304.08","16,312.57","16,334.83","16,228.60","188.72M","0.15%"
"2020-10-22","16,279.36","16,222.75","16,294.00","16,148.64","202.66M","0.30%"
"2020-10-21","16,230.23","16,246.89","16,313.10","16,203.03","188.60M","-0.26%"
"2020-10-20","16,273.26","16,350.01","16,369.91","16,245.97","213.25M","0.00%"
"2020-10-19","16,274.07","16,483.39","16,490.89","16,261.82","213.18M","-1.00%"
"2020-10-16","16,438.75","16,534.44","16,549.69","16,435.69","176.77M","-0.38%"
"2020-10-15","16,501.03","16,305.11","16,515.18","16,289.96","182.20M","0.28%"
"2020-10-14","16,455.40","16,554.13","16,575.41","16,436.79","224.31M","-0.34%"
"2020-10-13","16,510.83","16,569.88","16,569.88","16,449.83","222.18M","-0.31%"
"2020-10-09","16,562.81","16,584.08","16,611.02","16,518.43","209.62M","0.17%"
"2020-10-08","16,534.54","16,484.97","16,539.13","16,481.57","226.46M","0.65%"
"2020-10-07","16,428.30","16,352.76","16,443.91","16,338.97","205.38M","1.18%"
"2020-10-06","16,236.13","16,454.12","16,455.84","16,205.54","242.77M","-1.06%"
"2020-10-05","16,410.19","16,262.46","16,418.62","16,251.08","219.49M","1.30%"
"2020-10-02","16,199.25","16,021.55","16,213.89","16,005.70","188.13M","0.09%"
"2020-10-01","16,184.54","16,189.66","16,228.45","16,117.25","214.75M","0.39%"
"2020-09-30","16,121.38","16,228.03","16,273.75","16,090.60","262.49M","-0.56%"
"2020-09-29","16,211.52","16,231.19","16,232.58","16,131.51","169.38M","-0.19%"
"2020-09-28","16,242.81","16,237.11","16,286.79","16,185.06","235.69M","1.10%"
"2020-09-25","16,065.35","15,878.15","16,088.83","15,832.02","177.94M","0.96%"
"2020-09-24","15,912.26","15,781.43","15,994.19","15,724.95","206.01M","0.60%"
"2020-09-23","15,817.11","16,183.45","16,195.01","15,816.44","222.69M","-2.02%"
"2020-09-22","16,142.89","16,048.88","16,180.15","16,000.50","194.99M","1.01%"
"2020-09-21","15,981.77","15,981.31","15,981.77","15,763.05","270.46M","-1.34%"
"2020-09-18","16,198.97","16,289.51","16,310.03","16,174.34","532.48M","-0.29%"
"2020-09-17","16,246.72","16,134.54","16,294.32","16,103.07","206.87M","-0.30%"
"2020-09-16","16,295.66","16,495.59","16,495.59","16,295.66","228.99M","-0.83%"
"2020-09-15","16,431.27","16,468.20","16,515.21","16,408.12","208.58M","0.43%"
"2020-09-14","16,360.14","16,314.86","16,373.31","16,295.08","231.70M","0.85%"
"2020-09-11","16,222.46","16,252.12","16,316.79","16,143.15","186.49M","0.23%"
"2020-09-10","16,185.32","16,431.59","16,431.59","16,153.18","215.66M","-1.21%"
"2020-09-09","16,383.60","16,250.42","16,432.74","16,250.42","227.75M","1.76%"
"2020-09-08","16,099.52","16,064.48","16,222.19","15,956.04","282.43M","-0.73%"
"2020-09-04","16,218.01","16,471.93","16,507.20","16,086.24","260.64M","-1.40%"
"2020-09-03","16,448.89","16,675.96","16,720.81","16,386.28","204.79M","-1.49%"
"2020-09-02","16,697.97","16,711.27","16,725.68","16,650.03","212.02M","0.32%"
"2020-09-01","16,644.99","16,533.18","16,644.99","16,462.73","199.99M","0.79%"
"2020-08-31","16,514.44","16,685.48","16,685.48","16,498.08","240.91M","-1.15%"
"2020-08-28","16,705.79","16,780.92","16,781.85","16,681.39","208.79M","-0.15%"
"2020-08-27","16,731.49","16,823.38","16,835.09","16,650.52","188.25M","-0.35%"
"2020-08-26","16,789.97","16,642.55","16,792.69","16,611.41","171.98M","1.04%"
"2020-08-25","16,617.48","16,654.94","16,654.94","16,523.86","158.10M","-0.06%"
"2020-08-24","16,626.64","16,631.70","16,638.96","16,573.19","185.39M","0.66%"
"2020-08-21","16,517.85","16,546.28","16,546.28","16,474.72","170.63M","-0.54%"
"2020-08-20","16,606.76","16,514.89","16,621.85","16,490.64","182.40M","0.18%"
"2020-08-19","16,577.38","16,609.45","16,653.99","16,565.15","213.01M","-0.29%"
"2020-08-18","16,626.06","16,701.73","16,706.57","16,579.02","165.96M","-0.18%"
"2020-08-17","16,656.12","16,627.13","16,663.01","16,600.21","189.27M","0.86%"
"2020-08-14","16,514.61","16,467.10","16,543.01","16,454.00","163.42M","-0.09%"
"2020-08-13","16,530.06","16,553.99","16,587.67","16,471.59","175.05M","-0.27%"
"2020-08-12","16,575.28","16,645.56","16,681.39","16,565.04","221.36M","0.47%"
"2020-08-11","16,497.01","16,579.15","16,640.44","16,486.02","252.38M","-0.65%"
"2020-08-10","16,605.50","16,603.88","16,647.34","16,534.95","224.22M","0.37%"
"2020-08-07","16,544.48","16,544.32","16,567.27","16,492.06","184.33M","-0.21%"
"2020-08-06","16,579.10","16,543.50","16,593.44","16,496.81","224.41M","0.47%"
"2020-08-05","16,501.61","16,454.06","16,507.32","16,440.31","233.40M","0.82%"
"2020-08-04","16,368.03","16,172.64","16,370.78","16,172.64","241.46M","1.23%"
"2020-07-31","16,169.20","16,288.81","16,288.81","16,060.58","215.03M","-0.80%"
"2020-07-30","16,299.29","16,123.08","16,299.29","16,020.55","185.97M","0.03%"
"2020-07-29","16,294.66","16,271.40","16,317.89","16,173.02","188.31M","1.08%"
"2020-07-28","16,121.32","16,139.96","16,189.48","16,085.26","191.26M","-0.25%"
"2020-07-27","16,161.33","16,076.33","16,165.84","16,012.72","183.67M","1.03%"
"2020-07-24","15,997.06","15,980.56","16,006.25","15,928.42","166.47M","-0.13%"
"2020-07-23","16,018.65","16,178.52","16,186.91","15,969.83","196.71M","-0.94%"
"2020-07-22","16,171.06","16,173.18","16,196.41","16,107.73","185.90M","0.05%"
